iter	MultiClass
0	1.12582835
1	0.9476457404
2	0.809898629
3	0.7026459358
4	0.6144371288
5	0.5442668019
6	0.484944338
7	0.4333169511
8	0.388755397
9	0.3508225758
10	0.3179306988
11	0.28858255
12	0.2630109381
13	0.2402698723
14	0.2197860231
15	0.2017780328
16	0.1854438578
17	0.171526917
18	0.1587744129
19	0.1469830132
20	0.1364215723
21	0.1272532469
22	0.1185135685
23	0.1108303307
24	0.1041689352
25	0.09778810332
26	0.09207795412
27	0.08656685883
28	0.08211107108
29	0.07734266585
30	0.07378262813
31	0.07071111845
32	0.06715459208
33	0.06410134991
34	0.06141457111
35	0.05924470044
36	0.05729766808
37	0.05480589917
38	0.05301229489
39	0.05142324519
40	0.04993232723
41	0.04871940319
42	0.04761612693
43	0.04608408864
44	0.04496341222
45	0.04393570675
46	0.04305924026
47	0.04223674881
48	0.04080672223
49	0.03995706149
50	0.03893009167
51	0.03814834573
52	0.0373987806
53	0.03677287646
54	0.03630176187
55	0.03546113967
56	0.03445615886
57	0.03372884234
58	0.03324380309
59	0.03288305525
60	0.03218523277
61	0.0317132255
62	0.03106767402
63	0.03065732217
64	0.02998180906
65	0.02960980732
66	0.02933321797
67	0.02872704368
68	0.02833218566
69	0.02817412689
70	0.02756886203
71	0.0272636115
72	0.02676681641
73	0.02650548263
74	0.02627195846
75	0.02563767091
76	0.0248028427
77	0.02419748833
78	0.02391271129
79	0.0236023082
80	0.02330901895
81	0.0231976685
82	0.02292340904
83	0.02282119768
84	0.02268557608
85	0.02234655911
86	0.02208475939
87	0.02182941643
88	0.02143917801
89	0.02121379375
90	0.02083567861
91	0.02060544537
92	0.02045314973
93	0.02018460241
94	0.01999035723
95	0.01978450267
96	0.01971939595
97	0.01959264882
98	0.01951575359
99	0.01935451503
100	0.01925077397
101	0.01904316952
102	0.01891227687
103	0.01871144118
104	0.01847138513
105	0.01840569444
106	0.0182248091
107	0.01802298145
108	0.01795484388
109	0.01789810382
110	0.01776242895
111	0.01760712413
112	0.01740810506
113	0.01727735793
114	0.01720371577
115	0.0170154413
116	0.01695751701
117	0.01688434047
118	0.01664476869
119	0.01660928652
120	0.01648636334
121	0.01645408351
122	0.01633572218
123	0.01627290626
124	0.01624041467
125	0.01621640071
126	0.01614305791
127	0.01599454335
128	0.01591037472
129	0.01562546822
130	0.01549472138
131	0.01543488842
132	0.01512517477
133	0.01507240009
134	0.01488025981
135	0.01468871083
136	0.01452703933
137	0.01445288243
138	0.01427318583
139	0.01420897692
140	0.01416274109
141	0.01412633461
142	0.01407916668
143	0.01396810094
144	0.01387440296
145	0.01380496516
146	0.0136560841
147	0.01362300768
148	0.01358634576
149	0.01350353542
150	0.0134788484
151	0.01339406606
152	0.01330609039
153	0.01327686465
154	0.01321472774
155	0.01319345072
156	0.01314183153
157	0.01300357537
158	0.01293246027
159	0.01291072702
160	0.01281270001
161	0.01278675797
162	0.01274346778
163	0.0126798288
164	0.01260694577
165	0.01248610454
166	0.01242606234
167	0.01237874862
168	0.01234916508
169	0.01232407065
170	0.01223109286
171	0.01216294314
172	0.01207771432
173	0.01203594377
174	0.01200179582
175	0.01198547349
176	0.01197145416
177	0.01182654013
178	0.01181724766
179	0.01179532789
180	0.01166992745
181	0.01165725236
182	0.01164798647
183	0.01157555831
184	0.01155398089
185	0.01150295988
186	0.01139722183
187	0.01126507335
188	0.01124736477
189	0.01122824202
190	0.01120484945
191	0.01117208551
192	0.0111462338
193	0.01104904396
194	0.0110369981
195	0.01084293623
196	0.01082884627
197	0.01081567885
198	0.01075964852
199	0.0107408411
